Business_id,Login_Date,Sales_Amount,Advanced_Amount,GST_Amount,Payment_mode
DDNN2893,12-03-2020,8000,8000,1440,Cheque
DDNN2893,12-03-2020,6000,6000,1080,Cheque
DLCJ3337,25-08-2022,12000,12000,2160,Cheque
DHNM3273,26-11-2019,13000,13000,2340,Cheque 
DHNM3273,26-11-2019,13000,13000,2340,Cheque
DHNM3273,26-11-2019,13000,13000,2340,Cheque
DCNG2628,26-12-2020,22400,22400,4032,Online
DGNR3078,01-10-2019,30000,30000,5400,Cheque 
DNAJ3366,10-08-2022,15000,5000,2700,Cash
DONR3482,20-08-2019,6000,6000,1080,Cash
DANS2236,21-02-2020,14160,14160,2548.8,Cheque
DOAJ3415,10-08-2022,9000,9000,1620,Cash
DCNG2629,10-11-2020,23600,23600,4248,No Data
DCBM2466,23-07-2021,9500,9500,1710,Cash
DHAR3114,27-12-2019,6000,6000,1080,Cheque
DHAR3114,27-12-2019,6000,6000,1080,Cheque
DHAR3114,27-12-2019,6000,6000,1080,Cheque
DHBP3188,27-10-2021,10000,10000,1800,Online 
DHBP3188,19-11-2021,10000,10000,1800,Online 
DGWA3084,26-07-2019,0,0,0,No Data
DHNG3266,04-04-2023,50000,50000,9000,Online
DHBD3151,17-06-2023,7080,7080,1274.4,Online
DDKJ2844,01-11-2023,20000,20000,3600,Online
DHND3244,09-09-2021,14000,14000,2520,Cheque 
DHNV2693,23-02-2023,15000,5000,2700,Online
DCnS2693,12-05-2023,10000,10000,1800,Cash
DCBD2338,22-01-2021,7000,7000,1260,Cash
DGCG3041,21-09-2019,15000,15000,2700,Cheque 
DCNM2659,22-07-2021,10000,10000,1800,No Data
DHBS3202,14-07-2023,11000,11000,1980,Cash
DCNG2630,11-11-2020,29500,29500,5310,Online 
DPBD3522,18-07-2019,10000,5000,1800,Online
DPBD3522,25-05-2019,10000,5000,1800,Online
DNNA3386,14-01-2020,17700,17700,3186,Cash
DPNM3609,14-01-2020,17700,17700,3186,Cash
DCNM2660,02-11-2019,15000,15000,2700,Cheque 
DCNM2660,02-11-2019,15000,15000,2700,Cheque
DCNM2660,02-11-2019,15000,15000,2700,Cheque
DHBK3178,07-11-2021,7500,5000,1350,Online 
DNAN3368,23-10-2019,8000,8000,1440,Cheque 
DHNM3274,26-11-2019,11800,11800,2124,Cheque 
DCNG2631,05-10-2020,21500,21500,3870,Cheque 
DBNJ2262,16-08-2019,9440,8000,1699.2,Cheque
DBBD2251,28-03-2022,10000,10000,1800,Cheque
DCNG2632,29-09-2020,0,0,0,No Data
DHNS3297,11-03-2020,11800,11800,2124,Cheque
DCBD2347,22-01-2021,7000,7000,1260,Cash
DGNM3076,16-03-2020,7000,7000,1260,Cheque
DCNR2684,16-10-2019,9440,9440,1699.2,Cheque  
DPWA3619,26-07-2019,10000,8475,1800,Cheque
DPNJ3607,19-10-2019,12000,12000,2160,Cheque 
DCNM2661,11-03-2021,14750,14750,2655,No Data
DMNG3361,03-04-2022,18000,8000,3240,Cash
DHNG3267,13-05-2023,10000,5000,1800,No Data
DCBM2467,20-07-2021,9000,3000,1620,Cash
DHAJ3091,10-08-2022,15000,15000,2700,Cash
DCNG2633,08-10-2020,23600,23600,4248,Cheque 
DHBD3154,30-04-2019,9000,9000,1620,Cheque
DHBD3155,25-11-2021,5900,5900,1062,Online 
DCCV2508,26-06-2019,8000,8000,1440,Cheque
DBCG2256,19-09-2019,47200,47200,8496,Cheque 
